Identifier	Dose Form
763340003	Sublingual solution spray
385074009	Sublingual spray
385084005	Sublingual tablet
385250004	Suspension for endotracheopulmonary instillation
764799005	Suspension for infusion
1255234008	Suspension for infusion and/or injection
421221008	Suspension for inhalation
385220007	Suspension for injection
385199008	Suspension for nebulizer
422201009	Tablet for cutaneous solution
421701006	Tablet for oral solution
1230193002	Tablet for oromucosal solution for gargle
1255299001	Tablet for oromucosal solution for mouthwash
385192004	Tablet for rectal solution
385193009	Tablet for rectal suspension
385173001	Tablet for vaginal solution
1231566004	Tablet for vapour inhalation
764477003	Transdermal cream
764297006	Transdermal foam
764802001	Transdermal gel
762893001	Transdermal ointment
1229932007	Transdermal solution
1229933002	Transdermal solution spray
764803006	Transdermal spray
385245005	Urethral gel
1231370008	Urethral ointment
385246006	Urethral stick
385175008	Vaginal capsule
385165005	Vaginal cream
385172006	Vaginal emulsion
385168007	Vaginal foam
385166006	Vaginal gel
420631002	Vaginal insert
385167002	Vaginal ointment
767059009	Vaginal pessary
420536002	Vaginal powder
385170003	Vaginal solution
739372003	Vaginal solution spray
424552006	Vaginal sponge
426823003	Vaginal spray
385171004	Vaginal suspension
739371005	Vaginal suspension spray
385178005	Vaginal tablet
739662008	Vaginal tampon
