Identifier	Supplier Name	Country
1808201000189106	R.B.Remedies Private Limited		
1182761000189109	Admac Formulations		
1649521000189105	Annodyne Drugs		
1813901000189109	Serwina Pharmaceuticals		
1117631000189108	Cosme Healthcare		
1133461000189101	Pushkar Pharmaceuticals Private Limited		
1783071000189104	Medicure Life Sciences India Private Limited	India	
1109541000189106	Ozenius Pharmaceuticals		
1136561000189108	Fastcure Pharmaceuticals Private Limited		
71131000189109	Ind Biosciences		
864051000189107	Mepro Pharmaceuticals Private Limited		
1591001000189106	Biostella Pharma (Opc) Private Limited		
24231000189100	D R Johns Lab Private Limited		
11051000189106	Miracalus Pharma Private Limited	India	
388251000189109	Shince Pharmaceuticals Private Limited		
1540551000189103	Arvincare Healthcare		
1533451000189108	Healthon Life Sciences Private Limited		
21011000189104	Positif Life Sciences		
1534561000189108	Prevento Pharma	India	
1698381000189102	Stiefel India Private Limited		
28071000189102	Intra Life Private Limited	India	
1851461000189107	Ceutica and Chemie Healthcare Private Limited		
189371000189108	Javelin Pharmaceuticals Private Limited		
80441000189105	New Medicon Pharma Lab Private Limited		
61161000189109	Ticoma Pharmacia		
1753511000189105	Asiltus Bio Pharma Private Limited		
1208801000189101	Healing Touch Pharma Private Limited	India	
1848191000189100	Vyomlifecare Private Limited		
1214121000189106	Skyever Pharmaceuticals Private Limited		
11801000189104	Torrent Pharmaceuticals Limited		
1249151000189107	Zephyr Medicare Private Limited	India	
314561000189103	APT-Cure Laboratories		
1809991000189101	H & Care Incorp		
1259731000189102	Mayu Healthcare Private Limited		
1754891000189100	Nebulae Pharma	India	
1590121000189107	Alika Healthcare Private Limited	India	
391061000189107	Calix Health Care		
1534851000189108	Hygen Healthcare Private Limited		
783091000189100	Enzo Biopharma Limited		
1853711000189104	Efedra Pharmaceuticals Private Limited		
1479081000189103	Mclain Laboratories	India	
1854791000189108	Fenclay Lifesciences		
160041000189105	Kaiser Pharma Private Limited		
1810241000189108	Dharam Lifesciences		
1400371000189102	Trexgen Pharmaceuticals Private Limited		
1233831000189108	Zatropha Pharma		
1324401000189109	PPL Healthcare		
41291000189104	Lancer Health Care Private Limited		
1242171000189107	Nova Scotia		
1202311000189109	Orama Life Sciences Private Limited		
17301000189102	Gujarat Terce Laboratories Limited		
1184451000189107	Doux Healthcare Private Limited		
1065711000189108	Prevego Healthcare & Research Private Limited		
1032711000189109	Faith Pharmaceuticals Limited		
1613791000189107	Bluepen Laboratories Private Limited		
772051000189107	Pharmanova India Drugs Private Limited		
1476391000189105	Sanatra Health Care		
1781451000189103	Abyon Pharmaceuticals		
1074681000189102	Merkury Arena Labs		
1779121000189109	Triglobal Lifesciences (opc) Private Limited		
1066851000189107	Abron Biotech		
1218411000189104	Gamete Pharma Private Limited		
1144301000189105	Henry Pharmaceuticals		
1175621000189106	Neuro Metrix Pharmaceuticals		
1017081000189105	Syskem Pharmocrats		
1165761000189100	Human Care Remedies		
1782981000189108	Delroy Pharma		
1248481000189102	Synergy Pharmaceuticals Private Limited		
1079461000189109	Nexocare Biotech Private Limited		
1112481000189108	Walton Health Care Private Limited	India	
1343511000189109	Lenit Pharmaceuticals		
1023521000189100	Dr. DeFelice Health Care		
11371000189103	Steadfast Medishield Private Limited		
1751161000189101	Nydux Pharma		
1143781000189100	B.J. Healthcare	India	
60801000189106	Jupiter Pharmaceuticals Limited		
1783251000189103	Satyam Life Science Private Limited		
1044981000189106	MPC Pharmaceuticals and Chemicals Private Limited		
1211091000189108	Kansas Laboratories Private Limited		
1137671000189100	Triko Pharmaceuticals	India	
1179611000189100	Penam Pharmaceuticals Private Limited		
1533621000189104	Aylen Pharmaceutical Private Limited	India	
1854651000189109	Elder-ici Healthcare Private Limited		
1713671000189105	Aitne Lifesciences Private Limited		
1134571000189108	Septalyst Lifesciences Private Limited	India	
1515261000189103	Welfeed Remedies Private Limited		
1655091000189104	Fidus Health Care Llp		
37921000189102	Delcure Lifesciences Limited	India	
1474701000189106	Rubrics Healthcare Private Limited	India	
133261000189100	Nex Pharma Private Limited		
78641000189103	Reliance Life Sciences Private Limited	India	
1025511000189107	Mensa Futura Life Sciences Private Limited		
1739141000189102	Risen Pharmaceuticals Private Limited	India	
1839481000189101	Vins Bioproducts Limited		
1139131000189100	Sigma Softgel Formulation	India	
1340831000189106	Optho Life Sciences Private Limited		
1615921000189106	Wellfort Healthcare Llp		
22741000189109	Wings Pharmaceuticals Private Limited		
1048731000189101	Biobrick Pharma		
1157711000189103	Realmed Pharma		
375941000189100	Parke Davis (India) Limited		
289311000189103	Emcee Pharmaceuticals Private Limited	India	
1009651000189102	Salveo Lifecare		
1610791000189103	Amanta Healthcare Limited		
1227461000189106	Spark Healthcare Private Limited		
1216071000189101	Ambience Pharma	India	
1116031000189101	Meltic Healthcare Private Limited		
1070351000189108	Maxon Biotech Private Limited		
20041000189108	Samarth Pharma Private Limited		
1491541000189108	Taica Pharma		
1536531000189106	Achemic Pharmaceuticals India Private Limited	India	
273821000189108	Soft Pharmaceuticals		
1050761000189108	Burnet Pharmaceuticals Private Limited		
1776991000189100	Vensat Bio Private Limited		
1612301000189107	Nimbus Healthcare Private Limited		
1228961000189104	Jabs Biotech Private Limited	India	
1154241000189102	Atlina Lifesciences Private Limited		
1855261000189106	Life Joy Healthcare		
41351000189104	Stanford Biotech Private Limited		
1537791000189102	Balint Pharmaceuticals		
69471000189109	F Hoffmann Roche Limited		
17741000189100	Santiago Life Sciences Private Limited		
47561000189101	UCB India Private Limited	India	
107221000189105	Integra Life Sciences Private Limited		
1414841000189109	Eright Healthcare	India	
70961000189109	Bharat Biotech International Limited		
1113401000189105	Precise Formulation		
1002081000189105	Plenus Pharmaceuticals Private Limited		
1478701000189103	Pigeon India Private Limited		
1751371000189108	Suncruz Pharmaceuticals		
1782371000189107	Sitnez Biocare Private Limited		
1814281000189109	Smiq Pharma		
1196131000189101	Medius Biotech		
1410661000189101	Montana Remedies Private Limited		
89411000189100	Vokin Biotech Private Limited	Not Available	
19821000189109	Purewin Labs Private Limited		
52681000189108	Bhavishya Pharmaceuticals Private Limited	India	
59581000189102	Relax Pharmaceuticals Private Limited	India	
1751821000189101	Zalman Life Sciences		
1924631000189108	Med Express		
1198071000189102	Jian Pharmaceuticals		
1610861000189100	Incepta Pharma LLP	India	
1032871000189109	Boots Lifesciences Limited	India	
1182461000189100	Baropharn Formulations		
1657151000189104	Katzung Pharmaceuticals Private Limited		
1293861000189107	Kardic Kare		
772601000189104	Kuresys Labs Private Limited		
1218351000189109	VHC Pharmaceuticals		
20451000189100	Maneesh Pharmaceuticals Limited	India	
1222451000189105	Biovzn Pharmaceuticals		
8971000189107	Biochem Pharmaceutical Industries Limited	India	
1748211000189103	Sristi Pharmaceuticals		
1184161000189102	Medchem International Limited		
45401000189105	UniOrange Life Care Private Limited		
1139631000189108	SBS Life Sciences Private Limited		
1476671000189101	Qgensun Healthcare	India	
1189021000189107	Sbp Healthcare Private Limited		
24291000189104	Ordain Health Care Global Private Limited	India	
70061000189105	Nexgen Healthcare Private Limited		
1213301000189100	Daniel Pasteur		
68111000189100	Concertina Pharma Private Limited	India	
1806141000189101	Allpa (India) Medicines Private Limited		
8631000189100	Hallmark Formulations Pharmaceuticals	India	
93791000189100	GLS Pharma Limited		
1105611000189106	BPL		
23771000189108	Nitin Lifesciences Limited		
1114191000189107	Ansel Healthcare		
1210671000189106	Nasa Pharamacutical		
1227721000189107	Stellar Life Sciences		
1400411000189103	Wecare Formulations Private Limited	India	
1592121000189108	Cynak Healthcare	India	
1206121000189103	RK Medicare Private Limited		
1238481000189101	Bausch & Lomb India Private Limited		
1188981000189103	Numed		
1784281000189108	Lab Corp India Private Limited		
1055811000189109	Axis Pharma		
1036081000189102	Manith Healthcare Private Limited		
50101000189105	Tycoon Pharmaceuticals Private Limited		
1710141000189103	Solvate Laboratries Private Limited		
39011000189103	Tusker Pharma Private Limited	India	
1650151000189100	Aniksan Healthcare Private Limited		
1110971000189100	Wannock Pharmaceuticals		
1655601000189101	Gat Pharmaceuticals Private Limited		
1737261000189101	Sia Pharma Private Limited	India	
1655651000189100	Endocrine Pharma Private Limited		
1717411000189107	Bioworld Pharma		
1166441000189103	Rizpan Life Sciences Private Limited		
1589211000189104	Medigen Life Sciences		
1752961000189107	Abiz Pharma Private Limited		
1738911000189107	Aqua Fine Injecta Private Limited		
1874321000189106	Indus Life Sciences Private Limited		
58011000189108	Micro Nova Pharmaceuticals Limited		
74131000189106	Roche Pharmaceuticals Private Limited		
1092811000189109	Hospira Pharmaceuticals		
259631000189109	Adroit Lifescience Private Limited	India	
1714821000189109	Auroswift Pharma		
1003871000189106	Eskag Pharma Private Limited	India	
1807101000189101	Verbiance Lifesciences Private Limited		
1850041000189106	Anies Healthcare		
1067051000189101	CNX Healthcare Private Limited		
1752441000189102	ASVP Pharma Health Industries Private Limited		
1108751000189108	Smotec Pharmaceuticals		
1491871000189103	Lifecare Neuro Products Limited	India	
1540171000189103	Genetiac Pharma		
1214331000189106	Cheminnova Life Sciences		
1612841000189100	Dycott Lifesciences Private Limited		
1535501000189105	Siba Lifesciences		
1492971000189104	Avrohn Pharma (I) Limited	India	
94051000189105	Kolson India healthcare private limited		
1076651000189104	Uniword Marketing Private Limited		
1754071000189108	Nanz Med Science Pharma Private Limited		
1715681000189108	Kestrel Lifesciences		
1474441000189102	Bennet Mypher Pharmaceuticals LLP		
64221000189108	Vazokare Pharmaceuticals		
1713691000189109	Cure N Cure Pharmaceutical		
170151000189104	Indus Drugs Limited		
1220451000189109	Cooper Pharma Limited	Not Available	
1711001000189106	Astellas Pharma India Private Limited		
1021591000189103	Medflex Healthcare Private Limited		
95161000189108	Ahlcon Parenterals (India) Limited		
1152861000189109	Chem Biotech Healthcare Private Limited		
12471000189101	Aurum Lifesciences Private Limited	India	
93541000189101	Vasolife Healthcare		
